4,Electrònica,electronica
5,Roba,roba
6,Joguines,joguines
7,Electrònica,electronica
8,Roba,roba
9,Joguines,joguines
10,Electrònica,electronica
11,Roba,roba
12,Joguines,joguines
13,Electrònica,electronica
14,Roba,roba
15,Joguines,joguines
16,Electrònica,electronica
17,Roba,roba
18,Joguines,joguines
19,Electrònica,electronica
20,Roba,roba
21,Joguines,joguines
22,Electrònica,electronica
23,Roba,roba
24,Joguines,joguines
25,Electrònica,electronica
26,Roba,roba
27,Joguines,joguines
28,Electrònica,electronica
29,Roba,roba
30,Joguines,joguines
31,Electrònica,electronica
32,Roba,roba
33,Joguines,joguines
34,Electrònica,electronica
35,Roba,roba
36,Joguines,joguines
37,Electrònica,electronica
38,Roba,roba
39,Joguines,joguines
40,Electrònica,electronica
41,Roba,roba
42,Joguines,joguines
43,Electrònica,electronica
44,Roba,roba
45,Joguines,joguines
46,Electrònica,electronica
47,Roba,roba
48,Joguines,joguines
49,Electrònica,electronica
50,Roba,roba
51,Joguines,joguines
52,Electrònica,electronica
53,Roba,roba
54,Joguines,joguines
55,Electrònica,electronica
56,Roba,roba
57,Joguines,joguines
58,Electrònica,electronica
59,Roba,roba
60,Joguines,joguines
61,Electrònica,electronica
62,Roba,roba
63,Joguines,joguines
64,Electrònica,electronica
65,Roba,roba
66,Joguines,joguines
67,Electrònica,electronica
68,Roba,roba
69,Joguines,joguines
70,Electrònica,electronica
71,Roba,roba
72,Joguines,joguines
73,Electrònica,electronica
74,Roba,roba
75,Joguines,joguines
76,Electrònica,electronica
77,Roba,roba
78,Joguines,joguines
79,Electrònica,electronica
80,Roba,roba
81,Joguines,joguines
82,Electrònica,electronica
83,Roba,roba
84,Joguines,joguines
85,Electrònica,electronica
86,Roba,roba
87,Joguines,joguines
88,Electrònica,electronica
89,Roba,roba
90,Joguines,joguines
91,Electrònica,electronica
92,Roba,roba
93,Joguines,joguines
94,Electrònica,electronica
95,Roba,roba
96,Joguines,joguines
97,Electrònica,electronica
98,Roba,roba
99,Joguines,joguines
100,Electrònica,electronica
